album_name,artist_name,published,url,tag
Punisher,Phoebe Bridgers,"06 Jun 2020, 00:56",https://www.last.fm/music/Phoebe+Bridgers/Punisher,"['indie rock', 'indie', 'rock', 'indie folk', 'folk']"
Brand New Machine (Deluxe Version),Chase & Status,,https://www.last.fm/music/Chase+&+Status/Brand+New+Machine+(Deluxe+Version),"['electronic', 'dance', 'personal favourites', 'drum and bass', 'dubstep']"
Call of Duty: Black Ops III (Official Soundtrack),Jack Wall,,https://www.last.fm/music/Jack+Wall/Call+of+Duty:+Black+Ops+III+(Official+Soundtrack),"['jazz', 'big band', 'bebop', 'soundtrack', 'video game music']"
To Be Still,Alela Diane,"10 Oct 2012, 19:39",https://www.last.fm/music/Alela+Diane/To+Be+Still,"['2009', 'folk', 'singer-songwriter', 'best of 2009', 'acoustic']"
Portal 2: Songs to Test By (Collectors Edition),Aperture Science Psychoacoustics Laboratory,"06 Jun 2022, 16:13",https://www.last.fm/music/Aperture+Science+Psychoacoustics+Laboratory/Portal+2:+Songs+to+Test+By+(Collectors+Edition),"['portal', 'soundtrack', 'instrumental', 'electronica', 'electronic']"
Hate Über Alles,Kreator,,https://www.last.fm/music/Kreator/Hate+%C3%9Cber+Alles,"['thrash metal', 'heavy metal', 'german', '2022', 'heavy']"
The Palpable Leprosy of Pollution,Infant Annihilator,,https://www.last.fm/music/Infant+Annihilator/The+Palpable+Leprosy+of+Pollution,"['deathcore', 'technical deathcore', 'brutal deathcore', 'brutal death metal', 'technical death metal']"
The Battle Of Yaldabaoth,Infant Annihilator,,https://www.last.fm/music/Infant+Annihilator/The+Battle+Of+Yaldabaoth,"['technical death metal', 'technical deathcore', '2019', 'best albums 2019', 'deathcore']"
Nada Personal (Remastered),Soda Stereo,,https://www.last.fm/music/Soda+Stereo/Nada+Personal+(Remastered),"['rock en español', 'rock argentino', '1985', 'rock', 'rock en espanol']"
Signos (Remastered),Soda Stereo,,https://www.last.fm/music/Soda+Stereo/Signos+(Remastered),"['rock en español', 'rock argentino', '1986', 'lounge', 'party']"
Out Of Time (25th Anniversary Edition),R.E.M.,,https://www.last.fm/music/R.E.M./Out+Of+Time+(25th+Anniversary+Edition),"['rock', 'alternative rock', '90s', 'alternative', '80s']"
Common Struggles (Std. Release),Single File,,https://www.last.fm/music/Single+File/Common+Struggles+(Std.+Release),"['punk', 'alternative rock', 'indie', 'pop punk', 'punk rock']"
"Call of Duty: Black Ops II Zombies – ""Mob of the Dead"" Soundtrack",Treyarch Sound,,https://www.last.fm/music/Treyarch+Sound/Call+of+Duty:+Black+Ops+II+Zombies+%E2%80%93+%22Mob+of+the+Dead%22+Soundtrack,"['soundtrack', 'metal', 'video game soundtrack', 'electronic', 'heavy metal']"
Call of Duty: Black Ops – Zombies (Original Game Soundtrack),Treyarch Sound,,https://www.last.fm/music/Treyarch+Sound/Call+of+Duty:+Black+Ops+%E2%80%93+Zombies+(Original+Game+Soundtrack),"['rock', 'hard rock', 'electronic', 'progressive metal', 'heavy metal']"
All The Hype That Money Can Buy,Five Iron Frenzy,,https://www.last.fm/music/Five+Iron+Frenzy/All+The+Hype+That+Money+Can+Buy,"['ska', 'cover', 'ska punk', 'christian', 'about a girl']"
El Satánico Dr. Cadillac,Los Fabulosos Cadillacs,,https://www.last.fm/music/Los+Fabulosos+Cadillacs/El+Sat%C3%A1nico+Dr.+Cadillac,"['ska', 'argentina', '80s', 'latin', 'rock']"
This Fffire,Franz Ferdinand,,https://www.last.fm/music/Franz+Ferdinand/This+Fffire,"['indie', 'indie rock', 'rock', 'alternative', 'franz ferdinand']"
Congrats,Holy Fuck,,https://www.last.fm/music/Holy+Fuck/Congrats,"['electronic', 'experimental', '2016', 'psychedelic', 'bagel']"
Mellon Collie and the Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,"09 Sep 2022, 16:23",https://www.last.fm/music/The+Smashing+Pumpkins/Mellon+Collie+and+the+Infinite+Sadness+(Deluxe+Edition),"['alternative rock', 'grunge', 'rock', '90s', 'alternative']"
Grandes Exitos,Los Tres,,https://www.last.fm/music/Los+Tres/Grandes+Exitos,"['rock chileno', 'rock', 'rock en espanol', 'rock latino', 'chile']"
Slipknot (10th Anniversary Edition),Slipknot,"09 Sep 2021, 18:21",https://www.last.fm/music/Slipknot/Slipknot+(10th+Anniversary+Edition),"['nu metal', 'metal', 'slipknot', 'alternative metal', 'heavy metal']"
Iowa,Slipknot,"07 Jul 2012, 14:26",https://www.last.fm/music/Slipknot/Iowa,"['nu metal', 'metal', 'alternative metal', '2001', 'heavy metal']"
Vol. 3: The Subliminal Verses,Slipknot,"03 Mar 2022, 04:49",https://www.last.fm/music/Slipknot/Vol.+3:+The+Subliminal+Verses,"['nu metal', 'metal', 'alternative metal', 'slipknot', 'heavy metal']"
.5: The Gray Chapter (Special Edition),Slipknot,,https://www.last.fm/music/Slipknot/.5:+The+Gray+Chapter+(Special+Edition),"['nu metal', 'metal', 'alternative metal', 'heavy metal', '2014']"
All Hope Is Gone,Slipknot,"07 Jul 2012, 14:17",https://www.last.fm/music/Slipknot/All+Hope+Is+Gone,"['metal', 'alternative metal', 'nu metal', 'heavy metal', '2008']"
